,MeshID,Vertice1,Vertice2,Vertice3
470,1,280,343,348
471,1,331,279,273
472,1,279,331,343
473,1,323,273,271
474,1,273,323,331
475,1,271,263,323
476,1,387,348,343
477,1,348,387,390
478,1,375,343,331
479,1,343,375,387
480,1,351,331,323
481,1,331,351,375
482,1,323,263,351
483,1,418,390,387
484,1,390,418,424
485,1,398,387,375
486,1,387,398,418
487,1,367,375,351
488,1,375,367,398
489,1,351,263,367
490,1,435,424,418
491,1,424,435,436
492,1,407,418,398
493,1,418,407,435
494,1,373,398,367
495,1,398,373,407
496,1,367,263,373
497,1,53,79,55
498,1,79,53,80
499,1,37,55,39
500,1,55,37,53
501,1,23,39,28
502,1,39,23,37
503,1,15,28,22
504,1,28,15,23
505,1,51,80,53
506,1,80,51,85
507,1,35,53,37
508,1,53,35,51
509,1,13,37,23
510,1,37,13,35
511,1,9,23,15
512,1,23,9,13
513,1,49,85,51
514,1,85,49,87
515,1,30,51,35
516,1,51,30,49
517,1,7,35,13
518,1,35,7,30
519,1,1,13,9
520,1,13,1,7
521,1,48,87,49
522,1,87,48,90
523,1,29,49,30
524,1,49,29,48
525,1,4,30,7
526,1,30,4,29
527,1,0,7,1
528,1,7,0,4
529,1,50,90,48
530,1,90,50,88
531,1,31,48,29
532,1,48,31,50
533,1,8,29,4
534,1,29,8,31
535,1,2,4,0
536,1,4,2,8
537,1,52,88,50
538,1,88,52,86
539,1,36,50,31
540,1,50,36,52
541,1,14,31,8
542,1,31,14,36
543,1,10,8,2
544,1,8,10,14
545,1,54,86,52
546,1,86,54,81
547,1,38,52,36
548,1,52,38,54
549,1,24,36,14
550,1,36,24,38
551,1,16,14,10
552,1,14,16,24
553,1,55,81,54
554,1,81,55,79
555,1,39,54,38
556,1,54,39,55
557,1,28,38,24
558,1,38,28,39
559,1,22,24,16
560,1,24,22,28
561,1,18,22,25
562,1,22,18,15
563,1,32,25,34
564,1,25,32,18
565,1,45,34,47
566,1,34,45,32
567,1,57,47,56
568,1,47,57,45
569,1,11,15,18
570,1,15,11,9
571,1,26,18,32
572,1,18,26,11
573,1,43,32,45
574,1,32,43,26
575,1,60,45,57
576,1,45,60,43
577,1,5,9,11
578,1,9,5,1
579,1,20,11,26
580,1,11,20,5
581,1,41,26,43
582,1,26,41,20
583,1,63,43,60
584,1,43,63,41
585,1,3,1,5
586,1,1,3,0
587,1,17,5,20
588,1,5,17,3
589,1,40,20,41
590,1,20,40,17
591,1,65,41,63
592,1,41,65,40
593,1,6,0,3
594,1,0,6,2
595,1,21,3,17
596,1,3,21,6
597,1,42,17,40
598,1,17,42,21
599,1,64,40,65
600,1,40,64,42
601,1,12,2,6
602,1,2,12,10
603,1,27,6,21
604,1,6,27,12
605,1,44,21,42
606,1,21,44,27
607,1,61,42,64
608,1,42,61,44
609,1,19,10,12
610,1,10,19,16
611,1,33,12,27
612,1,12,33,19
613,1,46,27,44
614,1,27,46,33
615,1,58,44,61
616,1,44,58,46
617,1,25,16,19
618,1,16,25,22
619,1,34,19,33
620,1,19,34,25
621,1,47,33,46
622,1,33,47,34
623,1,56,46,58
624,1,46,56,47
625,1,466,448,465
626,1,448,466,446
627,1,474,465,472
628,1,465,474,466
629,1,479,472,476
630,1,472,479,474
631,1,488,476,486
632,1,476,488,479
633,1,468,446,466
634,1,446,468,444
635,1,477,466,474
636,1,466,477,468
637,1,483,474,479
638,1,474,483,477
639,1,504,479,488
640,1,479,504,483
641,1,470,444,468
642,1,444,470,445
643,1,481,468,477
644,1,468,481,470
645,1,491,477,483
646,1,477,491,481
647,1,517,483,504
648,1,483,517,491
649,1,473,445,470
650,1,445,473,447
651,1,485,470,481
652,1,470,485,473
653,1,497,481,491
654,1,481,497,485
655,1,521,491,517
656,1,491,521,497
657,1,471,447,473
658,1,447,471,449
659,1,482,473,485
660,1,473,482,471
661,1,492,485,497
662,1,485,492,482
663,1,518,497,521
664,1,497,518,492
665,1,469,449,471
666,1,449,469,451
667,1,478,471,482
668,1,471,478,469
669,1,484,482,492
670,1,482,484,478
671,1,507,492,518
672,1,492,507,484
673,1,467,451,469
674,1,451,467,450
675,1,475,469,478
676,1,469,475,467
677,1,480,478,484
678,1,478,480,475
679,1,489,484,507
680,1,484,489,480
681,1,465,450,467
682,1,450,465,448
683,1,472,467,475
684,1,467,472,465
685,1,476,475,480
686,1,475,476,472
687,1,486,480,489
688,1,480,486,476
689,1,498,486,487
690,1,486,498,488
691,1,500,487,493
692,1,487,500,498
693,1,502,493,494
694,1,493,502,500
695,1,495,494,490
696,1,494,495,502
697,1,508,488,498
698,1,488,508,504
699,1,512,498,500
700,1,498,512,508
701,1,510,500,502
702,1,500,510,512
703,1,505,502,495
704,1,502,505,510
705,1,522,504,508
706,1,504,522,517
707,1,524,508,512
708,1,508,524,522
709,1,519,512,510
710,1,512,519,524
711,1,514,510,505
712,1,510,514,519
713,1,527,517,522
714,1,517,527,521
715,1,528,522,524
716,1,522,528,527
717,1,526,524,519
718,1,524,526,528
719,1,516,519,514
720,1,519,516,526
721,1,523,521,527
722,1,521,523,518
723,1,525,527,528
724,1,527,525,523
725,1,520,528,526
726,1,528,520,525
727,1,515,526,516
728,1,526,515,520
729,1,509,518,523
730,1,518,509,507
731,1,513,523,525
732,1,523,513,509
733,1,511,525,520
734,1,525,511,513
735,1,506,520,515
736,1,520,506,511
737,1,499,507,509
738,1,507,499,489
739,1,501,509,513
740,1,509,501,499
741,1,503,513,511
742,1,513,503,501
743,1,496,511,506
744,1,511,496,503
745,1,487,489,499
746,1,489,487,486
747,1,493,499,501
748,1,499,493,487
749,1,494,501,503
750,1,501,494,493
751,1,490,503,496
752,1,503,490,494
753,1,315,264,324
754,1,313,324,321
755,1,324,313,315
756,1,303,321,307
757,1,321,303,313
758,1,305,307,308
759,1,307,305,303
760,1,311,264,315
761,1,309,315,313
762,1,315,309,311
763,1,297,313,303
764,1,313,297,309
765,1,299,303,305
766,1,303,299,297
767,1,295,264,311
768,1,293,311,309
769,1,311,293,295
770,1,289,309,297
771,1,309,289,293
772,1,291,297,299
773,1,297,291,289
774,1,259,264,295
775,1,260,295,293
776,1,295,260,259
777,1,262,293,289
778,1,293,262,260
779,1,261,289,291
780,1,289,261,262
781,1,231,264,259
782,1,233,259,260
783,1,259,233,231
784,1,237,260,262
785,1,260,237,233
786,1,235,262,261
787,1,262,235,237
788,1,215,264,231
789,1,217,231,233
790,1,231,217,215
791,1,229,233,237
792,1,233,229,217
793,1,227,237,235
794,1,237,227,229
795,1,211,264,215
796,1,213,215,217
797,1,215,213,211
798,1,223,217,229
799,1,217,223,213
800,1,221,229,227
801,1,229,221,223
802,1,203,264,211
803,1,206,211,213
804,1,211,206,203
805,1,220,213,223
806,1,213,220,206
807,1,219,223,221
808,1,223,219,220
809,1,212,264,203
810,1,214,203,206
811,1,203,214,212
812,1,224,206,220
813,1,206,224,214
814,1,222,220,219
815,1,220,222,224
816,1,216,264,212
817,1,218,212,214
818,1,212,218,216
819,1,230,214,224
820,1,214,230,218
821,1,228,224,222
822,1,224,228,230
823,1,232,264,216
824,1,234,216,218
825,1,216,234,232
826,1,238,218,230
827,1,218,238,234
828,1,236,230,228
829,1,230,236,238
830,1,268,264,232
831,1,267,232,234
832,1,232,267,268
833,1,265,234,238
834,1,234,265,267
835,1,266,238,236
836,1,238,266,265
837,1,296,264,268
838,1,294,268,267
839,1,268,294,296
840,1,290,267,265
841,1,267,290,294
842,1,292,265,266
843,1,265,292,290
844,1,312,264,296
845,1,310,296,294
846,1,296,310,312
847,1,298,294,290
848,1,294,298,310
849,1,300,290,292
850,1,290,300,298
851,1,316,264,312
852,1,314,312,310
853,1,312,314,316
854,1,304,310,298
855,1,310,304,314
856,1,306,298,300
857,1,298,306,304
858,1,324,264,316
859,1,321,316,314
860,1,316,321,324
861,1,307,314,304
862,1,314,307,321
863,1,308,304,306
864,1,304,308,307
865,1,325,308,329
866,1,308,325,305
867,1,362,329,372
868,1,329,362,325
869,1,392,372,396
870,1,372,392,362
871,1,401,396,412
872,1,396,401,392
873,1,319,305,325
874,1,305,319,299
875,1,344,325,362
876,1,325,344,319
877,1,370,362,392
878,1,362,370,344
879,1,376,392,401
880,1,392,376,370
881,1,301,299,319
882,1,299,301,291
883,1,317,319,344
884,1,319,317,301
885,1,327,344,370
886,1,344,327,317
887,1,332,370,376
888,1,370,332,327
889,1,258,291,301
890,1,291,258,261
891,1,257,301,317
892,1,301,257,258
893,1,255,317,327
894,1,317,255,257
895,1,253,327,332
896,1,327,253,255
897,1,225,261,258
898,1,261,225,235
899,1,209,258,257
900,1,258,209,225
901,1,199,257,255
902,1,257,199,209
903,1,194,255,253
904,1,255,194,199
905,1,207,235,225
906,1,235,207,227
907,1,183,225,209
908,1,225,183,207
909,1,156,209,199
910,1,209,156,183
911,1,150,199,194
912,1,199,150,156
913,1,201,227,207
914,1,227,201,221
915,1,164,207,183
916,1,207,164,201
917,1,134,183,156
918,1,183,134,164
919,1,125,156,150
920,1,156,125,134
921,1,198,221,201
922,1,221,198,219
923,1,155,201,164
924,1,201,155,198
925,1,131,164,134
926,1,164,131,155
927,1,116,134,125
928,1,134,116,131
929,1,202,219,198
930,1,219,202,222
931,1,165,198,155
932,1,198,165,202
933,1,135,155,131
934,1,155,135,165
935,1,126,131,116
936,1,131,126,135
937,1,208,222,202
938,1,222,208,228
939,1,184,202,165
940,1,202,184,208
941,1,157,165,135
942,1,165,157,184
943,1,151,135,126
944,1,135,151,157
945,1,226,228,208
946,1,228,226,236
947,1,210,208,184
948,1,208,210,226
949,1,200,184,157
950,1,184,200,210
951,1,195,157,151
952,1,157,195,200
953,1,269,236,226
954,1,236,269,266
955,1,270,226,210
956,1,226,270,269
957,1,272,210,200
958,1,210,272,270
959,1,274,200,195
960,1,200,274,272
961,1,302,266,269
962,1,266,302,292
963,1,318,269,270
964,1,269,318,302
965,1,328,270,272
966,1,270,328,318
967,1,333,272,274
968,1,272,333,328
969,1,320,292,302
970,1,292,320,300
971,1,345,302,318
972,1,302,345,320
973,1,371,318,328
974,1,318,371,345
975,1,377,328,333
976,1,328,377,371
977,1,326,300,320
978,1,300,326,306
979,1,363,320,345
980,1,320,363,326
981,1,393,345,371
982,1,345,393,363
983,1,402,371,377
984,1,371,402,393
985,1,329,306,326
986,1,306,329,308
987,1,372,326,363
988,1,326,372,329
989,1,396,363,393
990,1,363,396,372
991,1,412,393,402
992,1,393,412,396
993,0,0,0,0
