,MeshID,Vertice_X,Vertice_Y,Vertice_Z
272,1,0.00,32.90,0.51
273,1,0.00,45.52,97.99
274,1,0.00,50.57,1.85
275,1,0.00,51.18,94.49
276,1,0.00,54.35,97.39
277,1,0.00,55.12,94.49
278,1,0.00,55.24,98.36
279,1,0.00,57.06,97.39
280,1,0.00,57.72,3.74
281,1,0.00,59.06,5.91
282,1,0.00,59.06,94.49
283,1,0.00,62.13,9.27
284,1,0.00,66.28,79.03
285,1,0.00,68.90,15.13
286,1,0.00,72.59,63.85
287,1,0.00,75.66,23.76
288,1,0.00,77.05,49.23
289,1,0.00,78.74,35.43
290,1,3.05,-7.15,111.56
291,1,3.05,7.15,111.56
292,1,3.09,-7.26,106.30
293,1,3.09,7.26,106.30
294,1,5.03,-11.81,117.37
295,1,5.03,11.81,117.37
296,1,5.28,-12.38,122.08
297,1,5.28,12.38,122.08
298,1,5.51,-5.51,111.56
299,1,5.51,5.51,111.56
300,1,5.59,-5.59,106.30
301,1,5.59,5.59,106.30
302,1,7.05,-16.57,102.79
303,1,7.05,16.57,102.79
304,1,7.15,-3.05,111.56
305,1,7.15,3.05,111.56
306,1,7.26,-3.09,106.30
307,1,7.26,3.09,106.30
308,1,7.75,0.00,111.56
309,1,7.87,0.00,106.30
310,1,9.10,-9.10,117.37
311,1,9.10,9.10,117.37
312,1,9.53,-9.53,122.08
313,1,9.53,9.53,122.08
314,1,11.81,-5.03,117.37
315,1,11.81,5.03,117.37
316,1,12.38,-5.28,122.08
317,1,12.38,5.28,122.08
318,1,12.75,-29.96,100.39
319,1,12.75,29.96,100.39
320,1,12.75,-12.75,102.79
321,1,12.75,12.75,102.79
322,1,12.80,0.00,117.37
323,1,12.91,-30.35,0.51
324,1,12.91,30.35,0.51
325,1,13.41,0.00,122.08
326,1,16.57,-7.05,102.79
327,1,16.57,7.05,102.79
328,1,17.87,-41.99,97.99
329,1,17.87,41.99,97.99
330,1,17.96,0.00,102.79
331,1,19.85,-46.65,1.85
332,1,19.85,46.65,1.85
333,1,20.09,-47.21,94.49
334,1,20.09,47.21,94.49
335,1,21.33,-50.14,97.39
336,1,21.33,50.14,97.39
337,1,21.63,-50.85,94.49
338,1,21.63,50.85,94.49
339,1,21.68,-50.96,98.36
340,1,21.68,50.96,98.36
341,1,22.39,-52.63,97.39
342,1,22.39,52.63,97.39
343,1,22.65,-53.24,3.74
344,1,22.65,53.24,3.74
345,1,23.06,-23.06,100.39
346,1,23.06,23.06,100.39
347,1,23.18,-54.48,5.91
348,1,23.18,-54.48,94.49
349,1,23.18,54.48,5.91
350,1,23.18,54.48,94.49
351,1,23.36,-23.36,0.51
352,1,23.36,23.36,0.51
353,1,24.39,-57.32,9.27
354,1,24.39,57.32,9.27
355,1,26.02,-61.15,79.03
356,1,26.02,61.15,79.03
357,1,27.04,-63.56,15.13
358,1,27.04,63.56,15.13
359,1,28.49,-66.96,63.85
360,1,28.49,66.96,63.85
361,1,29.70,-69.80,23.76
362,1,29.70,69.80,23.76
363,1,29.96,-12.75,100.39
364,1,29.96,12.75,100.39
365,1,30.24,-71.08,49.23
366,1,30.24,71.08,49.23
367,1,30.35,-12.91,0.51
368,1,30.35,12.91,0.51
369,1,30.91,-72.64,35.43
370,1,30.91,72.64,35.43
371,1,32.32,-32.32,97.99
372,1,32.32,32.32,97.99
373,1,32.48,0.00,100.39
374,1,32.90,0.00,0.51
375,1,35.90,-35.90,1.85
376,1,35.90,35.90,1.85
377,1,36.34,-36.34,94.49
378,1,36.34,36.34,94.49
379,1,38.59,-38.59,97.39
380,1,38.59,38.59,97.39
381,1,39.13,-39.13,94.49
382,1,39.13,39.13,94.49
383,1,39.22,-39.22,98.36
384,1,39.22,39.22,98.36
385,1,40.51,-40.51,97.39
386,1,40.51,40.51,97.39
387,1,40.98,-40.98,3.74
388,1,40.98,40.98,3.74
389,1,41.93,-41.93,5.91
390,1,41.93,-41.93,94.49
391,1,41.93,41.93,5.91
392,1,41.93,41.93,94.49
393,1,41.99,-17.87,97.99
394,1,41.99,17.87,97.99
395,1,44.11,-44.11,9.27
396,1,44.11,44.11,9.27
397,1,45.52,0.00,97.99
398,1,46.65,-19.85,1.85
399,1,46.65,19.85,1.85
400,1,47.06,-47.06,79.03
401,1,47.06,47.06,79.03
402,1,47.21,-20.09,94.49
403,1,47.21,20.09,94.49
404,1,48.92,-48.92,15.13
405,1,48.92,48.92,15.13
406,1,50.14,-21.33,97.39
407,1,50.14,21.33,97.39
408,1,50.57,0.00,1.85
409,1,50.85,-21.63,94.49
410,1,50.85,21.63,94.49
411,1,50.96,-21.68,98.36
412,1,50.96,21.68,98.36
413,1,51.18,0.00,94.49
414,1,51.54,-51.54,63.85
415,1,51.54,51.54,63.85
416,1,52.63,-22.39,97.39
417,1,52.63,22.39,97.39
418,1,53.24,-22.65,3.74
419,1,53.24,22.65,3.74
420,1,53.72,-53.72,23.76
421,1,53.72,53.72,23.76
422,1,54.35,0.00,97.39
423,1,54.48,-23.18,5.91
424,1,54.48,-23.18,94.49
425,1,54.48,23.18,5.91
426,1,54.48,23.18,94.49
427,1,54.70,-54.70,49.23
428,1,54.70,54.70,49.23
429,1,55.12,0.00,94.49
430,1,55.24,0.00,98.36
431,1,55.91,-55.91,35.43
432,1,55.91,55.91,35.43
433,1,57.06,0.00,97.39
434,1,57.32,-24.39,9.27
435,1,57.32,24.39,9.27
436,1,57.72,0.00,3.74
437,1,59.06,0.00,5.91
438,1,59.06,0.00,94.49
439,1,61.15,-26.02,79.03
440,1,61.15,26.02,79.03
441,1,62.13,0.00,9.27
442,1,63.56,-27.04,15.13
443,1,63.56,27.04,15.13
444,1,66.28,0.00,79.03
445,1,66.93,-19.49,39.86
446,1,66.93,-14.62,28.70
447,1,66.93,-14.62,51.03
448,1,66.93,0.00,23.62
449,1,66.93,0.00,56.10
450,1,66.93,14.62,28.70
451,1,66.93,14.62,51.03
452,1,66.93,19.49,39.86
453,1,66.96,-28.49,63.85
454,1,66.96,28.49,63.85
455,1,68.90,0.00,15.13
456,1,69.80,-29.70,23.76
457,1,69.80,29.70,23.76
458,1,71.08,-30.24,49.23
459,1,71.08,30.24,49.23
460,1,72.59,0.00,63.85
461,1,72.64,-30.91,35.43
462,1,72.64,30.91,35.43
463,1,75.66,0.00,23.76
464,1,77.05,0.00,49.23
465,1,78.74,0.00,35.43
466,1,85.81,0.00,60.44
467,1,87.26,-13.20,56.68
468,1,87.26,13.20,56.68
469,1,90.43,-17.60,48.40
470,1,90.43,17.60,48.40
471,1,93.60,-13.20,40.12
472,1,93.60,13.20,40.12
473,1,94.00,0.00,70.87
474,1,95.04,0.00,36.36
475,1,95.84,-10.08,68.67
476,1,95.84,10.08,68.67
477,1,98.49,0.00,83.51
478,1,99.90,-13.44,63.85
479,1,99.90,13.44,63.85
480,1,100.74,-6.96,82.71
481,1,100.74,6.96,82.71
482,1,103.96,-10.08,59.03
483,1,103.96,10.08,59.03
484,1,105.68,-9.27,80.97
485,1,105.68,9.27,80.97
486,1,105.81,0.00,56.84
487,1,106.30,0.00,94.49
488,1,109.13,0.00,96.15
489,1,109.99,-5.54,94.49
